# theta_arc   tng_tsz_150_mhalo_red+dust    tng_tsz_150_mhalo_red-2sigma_low_dust   tng_tsz_150_mhalo_red+2sigma_up_dust
1.000000000000000000e+00 -2.847428985346693864e-01 -4.353721759015256043e-01 -1.341136211678132240e-01
1.625000000000000000e+00 -2.208198808768990773e-01 -5.142399927850154207e-01 7.260023103121726606e-02
2.250000000000000000e+00 -1.464299934926969193e-01 -5.535319431299361437e-01 2.606719561445420830e-01
2.875000000000000000e+00 -2.206653885090916756e-01 -7.052963254739397225e-01 2.639655484557563714e-01
3.500000000000000000e+00 -5.153228694715952241e-01 -1.068547703251334413e+00 3.790196430814396500e-02
4.125000000000000000e+00 -1.084553615505419621e+00 -1.730246558040035465e+00 -4.388606729708040000e-01
4.750000000000000000e+00 -1.917681145678409083e+00 -2.697930249983318873e+00 -1.137432041373499514e+00
5.375000000000000000e+00 -2.865037595646207969e+00 -3.887703672611795724e+00 -1.842371518680620213e+00
6.000000000000000000e+00 -3.741758573243612940e+00 -5.329826699192926398e+00 -2.153690447294299037e+00
